player_name,college,draft_year,draft_round,draft_number,POSTSEASON,ranked_college,CONF
Isaiah Canaan,Murray State,2013,2,34,Unranked,False,OVC
Gorgui Dieng,Louisville,2013,1,21,Champions,True,BE
Glen Rice,Georgia Tech,2013,2,35,Unranked,False,ACC
Erik Murphy,Florida,2013,2,49,E8,True,SEC
Jamaal Franklin,San Diego State,2013,2,41,R32,True,MWC
Jeff Withey,Kansas,2013,2,39,S16,True,B12
CJ McCollum,Lehigh,2013,1,10,Unranked,False,Unranked / Non-NCAA
Carrick Felix,Arizona State,2013,2,33,Unranked,False,P12
Andre Roberson,Colorado,2013,1,26,R64,True,P12
Anthony Bennett,Nevada-Las Vegas,2013,1,1,Unranked,False,Unranked / Non-NCAA
Archie Goodwin,Kentucky,2013,1,29,Unranked,False,SEC
Ben McLemore,Kansas,2013,1,7,S16,True,B12
Cody Zeller,Indiana,2013,1,4,S16,True,B10
Ryan Kelly,Duke,2013,2,48,E8,True,ACC
Shabazz Muhammad,UCLA,2013,1,14,R64,True,P12
Shane Larkin,Miami (FL),2013,1,18,S16,True,ACC
Solomon Hill,Arizona,2013,1,23,S16,True,P12
Ray McCallum,Detroit Mercy,2013,2,36,Unranked,False,Unranked / Non-NCAA
Reggie Bullock,North Carolina,2013,1,25,R32,True,ACC
Ricky Ledo,Providence,2013,2,43,Unranked,False,BE
Victor Oladipo,Indiana,2013,1,2,S16,True,B10
Trey Burke,Michigan,2013,1,9,2ND,True,B10
Steven Adams,Pittsburgh,2013,1,12,R64,True,ACC
Tim Hardaway Jr.,Michigan,2013,1,24,2ND,True,B10
Tony Mitchell,North Texas,2013,2,37,Unranked,False,CUSA
Tony Snell,New Mexico,2013,1,20,R64,True,MWC
Peyton Siva,Louisville,2013,2,56,Champions,True,BE
Lorenzo Brown,North Carolina State,2013,2,52,R64,True,ACC
Kelly Olynyk,Gonzaga,2013,1,13,R32,True,WCC
Kentavious Caldwell-Pope,Georgia,2013,1,8,Unranked,False,SEC
Otto Porter Jr.,Georgetown,2013,1,3,R64,True,BE
Nate Wolters,South Dakota State,2013,2,38,R64,True,Sum
Mason Plumlee,Duke,2013,1,22,E8,True,ACC
Michael Carter-Williams,Syracuse,2013,1,11,F4,True,ACC
Mike Muscala,Bucknell,2013,2,44,R64,True,Pat
Alex Len,Maryland,2013,1,5,Unranked,False,B10
Allen Crabbe,California,2013,2,31,R32,True,P12
PJ Hairston,North Carolina,2014,1,26,R32,True,ACC
Otto Porter Jr.,Georgetown,2013,1,3,R64,True,BE
Noah Vonleh,Indiana,2014,1,9,Unranked,False,B10
Ryan Kelly,Duke,2013,2,48,E8,True,ACC
Russ Smith,Louisville,2014,2,47,S16,True,BE
Rodney Hood,Duke,2014,1,23,R64,True,ACC
Ricky Ledo,Providence,2013,2,43,Unranked,False,BE
Nik Stauskas,Michigan,2014,1,8,E8,True,B10
Reggie Bullock,North Carolina,2013,1,25,R32,True,ACC
Ray McCallum,Detroit Mercy,2013,2,36,Unranked,False,Unranked / Non-NCAA
Nick Johnson,Arizona,2014,2,42,E8,True,P12
Markel Brown,Oklahoma State,2014,2,44,R64,True,B12
Marcus Smart,Oklahoma State,2014,1,6,R64,True,B12
Lorenzo Brown,North Carolina State,2013,2,52,R64,True,ACC
Nerlens Noel,Kentucky,2013,1,6,Unranked,False,SEC
Nate Wolters,South Dakota State,2013,2,38,R64,True,Sum
Mitch McGary,Michigan,2014,1,21,E8,True,B10
Mike Muscala,Bucknell,2013,2,44,R64,True,Pat
